Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
35;21100886426;"Brain-Computer Interfaces";journal;"23262621, 2326263X";0,850;Q2;14;8;51;641;145;49;3,22;80,13;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2014-2020";"Electrical and Electronic Engineering (Q1); Human-Computer Interaction (Q1); Behavioral Neuroscience (Q2); Biomedical Engineering (Q2)"
36;14323;"Brain, Behavior and Evolution";journal;"14219743, 00068977";0,845;Q2;74;25;125;1784;219;109;2,14;71,36;Switzerland;Western Europe;"S. Karger AG";"1968-2020";"Behavioral Neuroscience (Q2); Developmental Neuroscience (Q2)"
37;12001;"Journal of the Experimental Analysis of Behavior";journal;"00225002, 19383711";0,829;Q2;57;67;190;2763;371;180;1,74;41,24;United States;Northern America;"Wiley-Blackwell";"1958-2020";"Behavioral Neuroscience (Q2); Experimental and Cognitive Psychology (Q2)"
38;21197;"Pharmacology Biochemistry and Behavior";journal;"00913057, 18735177";0,814;Q2;131;128;360;8395;911;351;2,66;65,59;United States;Northern America;"Elsevier Inc.";"1973-2020";"Behavioral Neuroscience (Q2); Biochemistry (Q2); Clinical Biochemistry (Q2); Pharmacology (Q2); Toxicology (Q2); Biological Psychiatry (Q3)"
39;21100199546;"Translational Behavioral Medicine";journal;"16139860, 18696716";0,812;Q2;33;141;325;4879;783;299;2,41;34,60;United States;Northern America;"Springer Publishing Company";"2011-2020";"Applied Psychology (Q2); Behavioral Neuroscience (Q2)"
40;23377;"Chemical Senses";journal;"0379864X, 14643553";0,802;Q2;96;70;229;3670;542;209;2,41;52,43;United Kingdom;Western Europe;"Oxford University Press";"1974-2020";"Behavioral Neuroscience (Q2); Physiology (Q2); Physiology (medical) (Q2); Sensory Systems (Q3)"
41;21100228128;"Trends in Neuroscience and Education";journal;"22119493";0,795;Q3;19;21;43;1514;96;40;2,00;72,10;Germany;Western Europe;"Elsevier GmbH";"2012-2020";"Education (Q1); Behavioral Neuroscience (Q3); Cognitive Neuroscience (Q3); Neuroscience (miscellaneous) (Q3)"
42;23456;"Journal of Comparative Physiology A: Neuroethology, Sensory, Neural, and Behavioral Physiology";journal;"14321351, 03407594";0,780;Q3;89;76;245;5146;413;235;1,57;67,71;Germany;Western Europe;"Springer Verlag";"1974-2020";"Animal Science and Zoology (Q1); Ecology, Evolution, Behavior and Systematics (Q2); Physiology (Q2); Behavioral Neuroscience (Q3)"
43;21100837404;"Adaptive Human Behavior and Physiology";journal;"21987335";0,757;Q3;13;24;74;1767;153;74;2,15;73,63;Switzerland;Western Europe;"Springer International Publishing AG";"2015-2020";"Experimental and Cognitive Psychology (Q2); Behavioral Neuroscience (Q3); Physiology (Q3)"
44;15500154703;"Evolutionary Psychology";journal;"14747049";0,749;Q3;30;38;146;2075;252;138;1,52;54,61;United Kingdom;Western Europe;"Human Nature Review";"2009-2020";"Medicine (miscellaneous) (Q2); Social Psychology (Q2); Behavioral Neuroscience (Q3)"
45;4000149005;"Clinical Psychopharmacology and Neuroscience";journal;"17381088";0,748;Q3;25;74;206;3136;428;193;2,19;42,38;South Korea;Asiatic Region;"Korean College of Neuropsychopharmacology";"2005-2019";"Pharmacology (medical) (Q2); Psychiatry and Mental Health (Q2); Behavioral Neuroscience (Q3)"
46;21100199846;"Neurobehavioral HIV Medicine";journal;"11791497";0,744;Q3;8;0;5;0;15;5;0,00;0,00;New Zealand;Pacific Region;"Dove Medical Press Ltd.";"2011-2013, 2015-2016";"Dermatology (Q2); Infectious Diseases (Q2); Psychiatry and Mental Health (Q2); Behavioral Neuroscience (Q3)"
47;12108;"Behavioral and Brain Sciences";journal;"14691825, 0140525X";0,739;Q3;156;246;908;1796;777;374;3,74;7,30;United Kingdom;Western Europe;"Cambridge University Press";"1978-2020";"Neuropsychology and Physiological Psychology (Q2); Behavioral Neuroscience (Q3); Physiology (Q3)"
48;24785;"Alcohol";journal;"07418329";0,729;Q3;78;119;235;6915;553;228;2,47;58,11;United States;Northern America;"Elsevier Inc.";"1984-2020";"Health (social science) (Q1); Biochemistry (Q2); Medicine (miscellaneous) (Q2); Toxicology (Q2); Behavioral Neuroscience (Q3); Neurology (Q3)"
49;14288;"Behavioural Processes";journal;"18728308, 03766357";0,721;Q3;74;227;599;14525;1121;585;1,95;63,99;Netherlands;Western Europe;"Elsevier";"1976-2020";"Animal Science and Zoology (Q1); Medicine (miscellaneous) (Q2); Behavioral Neuroscience (Q3)"
50;21100466871;"Review Journal of Autism and Developmental Disorders";journal;"21957177, 21957185";0,707;Q3;16;41;84;2878;188;80;1,50;70,20;United States;Northern America;"Springer New York";"2014-2020";"Psychiatry and Mental Health (Q2); Behavioral Neuroscience (Q3); Cognitive Neuroscience (Q3); Developmental Neuroscience (Q3)"
51;24713;"Behaviour";journal;"00057959, 1568539X";0,601;Q3;74;58;198;4459;250;197;1,06;76,88;Netherlands;Western Europe;"Brill Academic Publishers";"1948, 1950-1951, 1953, 1955-1958, 1960-2020";"Animal Science and Zoology (Q1); Behavioral Neuroscience (Q3)"
52;21100222556;"Journal of Contextual Behavioral Science";journal;"22121447";0,578;Q3;21;84;143;4230;317;134;1,98;50,36;Netherlands;Western Europe;"Elsevier BV";"2012-2020";"Applied Psychology (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Health (social science) (Q2); Organizational Behavior and Human Resource Management (Q2); Behavioral Neuroscience (Q3)"
53;21100901748;"Behavioral Sciences";journal;"2076328X";0,502;Q3;20;157;227;8555;561;224;2,39;54,49;Switzerland;Western Europe;"MDPI Multidisciplinary Digital Publishing Institute";"2011-2020";"Development (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Psychology (miscellaneous) (Q2); Behavioral Neuroscience (Q3); Genetics (Q3)"
54;21100434606;"Sexual Medicine";journal;"20501161";0,495;Q3;16;64;115;2385;230;110;2,13;37,27;United States;Northern America;"Elsevier Inc.";"2013-2020";"Dermatology (Q2); Behavioral Neuroscience (Q3); Reproductive Medicine (Q3); Urology (Q3)"
55;12030;"Learning and Behavior";journal;"15434508, 15434494";0,490;Q3;55;50;156;1694;168;150;1,16;33,88;United States;Northern America;"Springer New York";"2003-2020";"Behavioral Neuroscience (Q3); Cognitive Neuroscience (Q3); Experimental and Cognitive Psychology (Q3)"
56;21100242616;"Sleep Science";journal;"19840659, 19840063";0,480;Q3;15;40;136;1276;195;123;1,29;31,90;Brazil;Latin America;"Federacao Latino-Americana de Sociedades do Sono";"2008-2019";"Medicine (miscellaneous) (Q2); Behavioral Neuroscience (Q3); Neuroscience (miscellaneous) (Q3)"
57;5700169289;"Journal of Sexual Aggression";journal;"17426545, 13552600";0,473;Q3;31;42;82;2306;115;77;1,42;54,90;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1994, 1996-1997, 1999-2020";"Behavioral Neuroscience (Q3)"
58;19400156832;"Brain Impairment";journal;"18395252, 14439646";0,472;Q3;21;35;73;1664;113;69;1,78;47,54;United Kingdom;Western Europe;"Cambridge University Press";"2004, 2008-2020";"Behavioral Neuroscience (Q3); Cognitive Neuroscience (Q3); Neurology (Q3); Neurology (clinical) (Q3); Neuropsychology and Physiological Psychology (Q3); Speech and Hearing (Q3)"
59;21100967241;"Epilepsy and Behavior Reports";journal;"25899864";0,389;Q3;12;42;141;781;171;136;1,26;18,60;United States;Northern America;"Elsevier Inc.";"2019-2020";"Behavioral Neuroscience (Q3); Neurology (Q3); Neurology (clinical) (Q3)"
60;21100853525;"Sleep Disorders";journal;"20903545, 20903553";0,388;Q4;4;0;6;0;7;6;2,00;0,00;Egypt;Africa/Middle East;"Hindawi Limited";"2015-2017";"Clinical Psychology (Q3); Psychiatry and Mental Health (Q3); Behavioral Neuroscience (Q4); Cognitive Neuroscience (Q4)"
61;21100469612;"Child Development Research";journal;"20903995, 20903987";0,340;Q4;3;3;26;134;17;26;0,64;44,67;United States;Northern America;"Hindawi Publishing Corporation";"2015-2019";"Linguistics and Language (Q1); Developmental and Educational Psychology (Q3); Education (Q3); Behavioral Neuroscience (Q4)"
62;21100810658;"Paladyn";journal;"20814836";0,332;Q4;5;34;38;1629;58;38;1,56;47,91;Germany;Western Europe;"De Gruyter Open Ltd.";"2016-2020";"Artificial Intelligence (Q3); Human-Computer Interaction (Q3); Behavioral Neuroscience (Q4); Cognitive Neuroscience (Q4); Developmental Neuroscience (Q4)"
63;21100805775;"International Journal of Design Creativity and Innovation";journal;"21650357, 21650349";0,331;Q4;11;17;47;744;52;44;1,37;43,76;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2013-2020";"Behavioral Neuroscience (Q4); Cognitive Neuroscience (Q4); Experimental and Cognitive Psychology (Q4)"
64;19700166619;"Journal of Neuroscience, Psychology, and Economics";journal;"1937321X, 2151318X";0,323;Q4;24;12;49;618;56;47;1,20;51,50;United States;Northern America;"American Psychological Association Inc.";"2008-2019";"Business, Management and Accounting (miscellaneous) (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2); Applied Psychology (Q3); Neuropsychology and Physiological Psychology (Q3); Behavioral Neuroscience (Q4); Cognitive Neuroscience (Q4); Experimental and Cognitive Psychology (Q4)"
65;23635;"Adaptive Behavior";journal;"17412633, 10597123";0,315;Q4;50;68;77;3259;102;70;1,20;47,93;United Kingdom;Western Europe;"SAGE Publications Ltd";"1992-2020";"Philosophy (Q1); Artificial Intelligence (Q3); Behavioral Neuroscience (Q4); Experimental and Cognitive Psychology (Q4)"
66;10600153338;"Integrative Psychological and Behavioral Science";journal;"19324502, 19363567";0,246;Q4;35;52;125;2430;117;121;0,67;46,73;United States;Northern America;"Springer New York";"1969, 1976, 2007-2020";"Cultural Studies (Q1); Anthropology (Q2); Philosophy (Q2); Neuropsychology and Physiological Psychology (Q3); Social Psychology (Q3); Applied Psychology (Q4); Behavioral Neuroscience (Q4); Experimental and Cognitive Psychology (Q4)"
67;19700176038;"Iranian Journal of Psychiatry and Behavioral Sciences";journal;"17358639, 17359287";0,218;Q4;13;61;275;1895;168;271;0,49;31,07;Iran;Middle East;"Kowsar Medical Publishing Company";"2007-2019";"Psychiatry and Mental Health (Q3); Behavioral Neuroscience (Q4); Biological Psychiatry (Q4)"
68;145567;"Pragmatics and Cognition";journal;"15699943, 09290907";0,199;Q4;30;0;64;0;23;62;0,29;0,00;Netherlands;Western Europe;"John Benjamins Publishing Company";"1993-2014, 2016-2018";"Language and Linguistics (Q2); Linguistics and Language (Q2); Computer Science (miscellaneous) (Q3); History and Philosophy of Science (Q3); Behavioral Neuroscience (Q4)"
69;21100877822;"Revista Argentina de Ciencias del Comportamiento";journal;"18524206";0,195;Q4;2;18;12;836;8;12;0,67;46,44;Argentina;Latin America;"Universidad Nacional de Cordoba - Facultad de Psicologia";"2018-2019";"Linguistics and Language (Q2); Behavioral Neuroscience (Q4); Developmental and Educational Psychology (Q4); Experimental and Cognitive Psychology (Q4)"
70;21100945900;"Health Psychology and Behavioral Medicine";journal;"21642850";0,187;Q4;2;22;13;1172;14;13;1,08;53,27;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2014-2015, 2018-2020";"Behavioral Neuroscience (Q4); Health (social science) (Q4); Psychology (miscellaneous) (Q4)"
71;29439;"Advances in Child Development and Behavior";journal;"00652407";0,169;Q4;38;19;57;2223;117;8;6,38;117,00;United States;Northern America;"Academic Press Inc.";"1964-1965, 1967, 1969-1976, 1978-1980, 1982, 1984-1985, 1987, 1989, 1991, 1993-1994, 1996, 1999, 2001-2020";"Pediatrics, Perinatology and Child Health (Q3); Behavioral Neuroscience (Q4); Developmental and Educational Psychology (Q4)"
72;19700188600;"Activitas Nervosa Superior";journal;"18029698";0,161;Q4;11;39;36;1482;15;36;0,54;38,00;Switzerland;Western Europe;"Springer International Publishing AG";"2008-2020";"Behavioral Neuroscience (Q4); Biological Psychiatry (Q4); Cognitive Neuroscience (Q4); Neurology (Q4); Neurology (clinical) (Q4); Psychiatry and Mental Health (Q4)"
73;21100854898;"NeuroRegulation";journal;"23730587";0,158;Q4;6;14;49;734;21;36;0,71;52,43;United States;Northern America;"International Society for Neurofeedback &amp; Research";"2014-2019";"Applied Psychology (Q4); Behavioral Neuroscience (Q4); Biological Psychiatry (Q4); Experimental and Cognitive Psychology (Q4); Neurology (clinical) (Q4); Neuropsychology and Physiological Psychology (Q4); Physiology (medical) (Q4); Psychiatry and Mental Health (Q4)"
74;21100902636;"Behavioral Science and Policy";journal;"23794607, 23794615";0,157;Q4;1;6;6;326;3;5;0,60;54,33;United States;Northern America;"Brookings Institution Press";"2018-2019";"Behavioral Neuroscience (Q4); Development (Q4); Human-Computer Interaction (Q4); Public Health, Environmental and Occupational Health (Q4)"
75;21100911928;"Rassegna di Psicologia";journal;"11255196, 19744854";0,153;Q4;3;13;55;727;17;55;0,19;55,92;Italy;Western Europe;"Edizioni Nuova Cultura";"2016-2019";"Behavioral Neuroscience (Q4); Psychiatry and Mental Health (Q4); Psychology (miscellaneous) (Q4)"
76;21100432435;"Fatigue: Biomedicine, Health and Behavior";journal;"21641846, 21641862";0,125;Q4;1;0;1;0;0;1;0,00;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2014, 2016";"Behavioral Neuroscience (Q4); Medicine (miscellaneous) (Q4); Public Health, Environmental and Occupational Health (Q4)"
77;21100854009;"Revue de Neuropsychologie";journal;"21016739, 21026025";0,119;Q4;2;0;7;0;3;6;0,00;0,00;France;Western Europe;"John Libbey Eurotext";"2015-2016";"Behavioral Neuroscience (Q4); Cognitive Neuroscience (Q4); Neuropsychology and Physiological Psychology (Q4)"
78;18000156708;"Neuropsychiatria i Neuropsychologia";journal;"18966764";0,111;Q4;5;12;66;579;13;66;0,14;48,25;Poland;Eastern Europe;"Termedia Publishing House Ltd.";"2009-2019";"Behavioral Neuroscience (Q4); Neuropsychology and Physiological Psychology (Q4); Psychiatry and Mental Health (Q4)"
79;17500155017;"Medecine du Sommeil (discontinued)";journal;"17694493";0,105;Q4;5;0;66;0;3;48;0,07;0,00;France;Western Europe;"Elsevier Masson";"2004-2018";"Behavioral Neuroscience (Q4); Cognitive Neuroscience (Q4); Neurology (Q4); Neurology (clinical) (Q4); Neuropsychology and Physiological Psychology (Q4)"
