Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
29;17167;"Public Administration Review";journal;"00333352, 15406210";2,867;Q1;130;112;411;5942;1355;237;4,61;53,05;United Kingdom;Western Europe;"Wiley-Blackwell";"1978-1983, 1985, 1988, 1996-2020";"Marketing (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
30;25725;"World Politics";journal;"00438871, 10863338";2,861;Q1;106;24;52;2330;182;49;2,74;97,08;United Kingdom;Western Europe;"Cambridge University Press";"1948-2020";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
31;23574;"Public Opinion Quarterly";journal;"0033362X, 15375331";2,836;Q1;100;34;141;1270;536;126;2,77;37,35;United Kingdom;Western Europe;"Oxford University Press";"1937-2019";"Communication (Q1); History (Q1); History and Philosophy of Science (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
32;25835;"International Security";journal;"15314804, 01622889";2,801;Q1;103;21;94;102;261;56;4,36;4,86;United States;Northern America;"MIT Press Journals";"1984, 1996-2020";"Law (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
33;26796;"Socio-Economic Review";journal;"14751461";2,670;Q1;51;32;120;2245;444;99;3,92;70,16;United Kingdom;Western Europe;"Oxford University Press";"2005-2019";"Economics, Econometrics and Finance (miscellaneous) (Q1); Sociology and Political Science (Q1)"
34;14427;"European Sociological Review";journal;"02667215, 14682672";2,664;Q1;81;25;163;1371;552;154;2,13;54,84;United Kingdom;Western Europe;"Oxford University Press";"1985-2019";"Sociology and Political Science (Q1)"
35;13892;"International Journal of Urban and Regional Research";journal;"03091317, 14682427";2,645;Q1;105;84;194;5487;902;185;4,44;65,32;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1977-2020";"Development (Q1); Sociology and Political Science (Q1); Urban Studies (Q1)"
36;22861;"Political Psychology";journal;"0162895X, 14679221";2,610;Q1;87;90;218;6700;924;213;4,31;74,44;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1996-2020";"Clinical Psychology (Q1); Experimental and Cognitive Psychology (Q1); Philosophy (Q1); Political Science and International Relations (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)"
37;19250;"Work and Occupations";journal;"07308884, 15528464";2,547;Q1;63;17;42;1134;164;42;3,88;66,71;United States;Northern America;"SAGE Publications Inc.";"1974-2020";"Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)"
38;15499;"Journal of Experimental Social Psychology";journal;"00221031, 10960465";2,488;Q1;135;132;394;7949;1646;381;3,78;60,22;United States;Northern America;"Academic Press Inc.";"1965-2020";"Social Psychology (Q1); Sociology and Political Science (Q1)"
39;14925;"Gender and Society";journal;"08912432, 15523977";2,487;Q1;97;37;96;1979;386;96;3,63;53,49;United States;Northern America;"SAGE Publications Inc.";"1987-2020";"Arts and Humanities (miscellaneous) (Q1); Gender Studies (Q1); Sociology and Political Science (Q1)"
40;19878;"Journal of European Public Policy";journal;"14664429, 13501763";2,456;Q1;101;142;283;7179;1427;264;4,98;50,56;United Kingdom;Western Europe;"Routledge";"1994-2020";"Public Administration (Q1); Sociology and Political Science (Q1)"
41;28122;"Perspectives on Sexual and Reproductive Health";journal;"15386341";2,360;Q1;92;23;103;930;305;81;4,09;40,43;United States;Northern America;"Wiley-Blackwell";"1996-2020";"Obstetrics and Gynecology (Q1); Public Health, Environmental and Occupational Health (Q1); Sociology and Political Science (Q1)"
42;23439;"Politics and Society";journal;"00323292, 15527514";2,318;Q1;67;23;68;956;190;67;1,77;41,57;United States;Northern America;"SAGE Publications Inc.";"1970-1990, 1992-2020";"Political Science and International Relations (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
43;67863;"Party Politics";journal;"13540688, 14603683";2,296;Q1;68;140;213;7019;667;178;3,85;50,14;United States;Northern America;"SAGE Publications Ltd";"1995-2020";"Sociology and Political Science (Q1)"
44;5800185422;"Theory and Research in Social Education";journal;"00933104, 21631654";2,296;Q1;32;28;52;1980;188;50;3,50;70,71;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1973-2020";"Education (Q1); Sociology and Political Science (Q1)"
45;24592;"European Journal of International Relations";journal;"13540661";2,279;Q1;83;86;108;7892;414;107;3,64;91,77;United States;Northern America;"SAGE Publications Ltd";"1995-2020";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
46;20444;"Legislative Studies Quarterly";journal;"03629805, 19399162";2,241;Q1;51;35;83;1830;161;79;1,65;52,29;United States;Northern America;"Wiley-Blackwell";"1996-2020";"Sociology and Political Science (Q1)"
47;30060;"World Development";journal;"0305750X, 18735991";2,223;Q1;164;277;860;19420;4316;845;4,54;70,11;United Kingdom;Western Europe;"Elsevier BV";"1973-2020";"Development (Q1); Economics and Econometrics (Q1); Geography, Planning and Development (Q1); Sociology and Political Science (Q1)"
48;18400156711;"Cambridge Journal of Regions, Economy and Society";journal;"17521386, 17521378";2,217;Q1;48;26;96;1343;484;86;6,26;51,65;United Kingdom;Western Europe;"Oxford University Press";"2008-2019";"Economics and Econometrics (Q1); Geography, Planning and Development (Q1); Sociology and Political Science (Q1)"
49;35048;"Food Policy";journal;"03069192";2,189;Q1;95;114;306;6163;1556;303;4,59;54,06;United Kingdom;Western Europe;"Elsevier BV";"1975-2020";"Development (Q1); Economics and Econometrics (Q1); Food Science (Q1); Management, Monitoring, Policy and Law (Q1); Sociology and Political Science (Q1)"
50;15821;"Journal of Policy Analysis and Management";journal;"02768739, 15206688";2,117;Q1;79;67;174;2469;462;124;4,21;36,85;United States;Northern America;"Wiley-Liss Inc.";"1981-2020";"Business, Management and Accounting (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
51;24519;"Environmental Politics";journal;"09644016";2,067;Q1;66;95;166;5553;775;157;4,95;58,45;United Kingdom;Western Europe;"Routledge";"1992-2020";"Environmental Science (miscellaneous) (Q1); Sociology and Political Science (Q1)"
52;10300153306;"International Journal of Press/Politics";journal;"19401612";2,041;Q1;59;26;74;1352;316;73;4,48;52,00;United States;Northern America;"SAGE Publications Inc.";"2003, 2008-2020";"Communication (Q1); Sociology and Political Science (Q1)"
53;25848;"International Studies Quarterly";journal;"14682478, 00208833";2,030;Q1;95;95;218;8004;601;194;2,58;84,25;United Kingdom;Western Europe;"Oxford University Press";"1978, 1985, 1989-2020";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
54;22867;"Political Research Quarterly";journal;"1938274X, 10659129";2,028;Q1;74;118;218;7659;518;205;1,93;64,91;United States;Northern America;"SAGE Publications Inc.";"1948, 1950-1952, 1954-1955, 1957-1967, 1969-1977, 1979-1986, 1988-2020";"Sociology and Political Science (Q1)"
55;28094;"Accounting, Organizations and Society";journal;"03613682";1,924;Q1;125;42;118;4077;486;108;4,14;97,07;United Kingdom;Western Europe;"Elsevier Ltd.";"1976-2020";"Accounting (Q1); Applied Psychology (Q1); Information Systems and Management (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)"
56;14735;"Government Information Quarterly";journal;"0740624X";1,915;Q1;94;75;196;5837;1509;179;7,14;77,83;United Kingdom;Western Europe;"Elsevier Ltd.";"1984-2020";"E-learning (Q1); Law (Q1); Library and Information Sciences (Q1); Sociology and Political Science (Q1)"
57;19088;"Governance";journal;"09521895, 14680491";1,908;Q1;72;54;122;3475;402;102;3,36;64,35;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1988-2020";"Marketing (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
58;19774;"International Journal of Public Opinion Research";journal;"14716909, 09542892";1,852;Q1;52;40;82;1930;246;81;2,96;48,25;United Kingdom;Western Europe;"Oxford University Press";"1989-2019";"Sociology and Political Science (Q1)"
59;18110;"Sociological Theory";journal;"07352751, 14679558";1,850;Q1;72;18;56;2008;167;54;2,68;111,56;United States;Northern America;"SAGE Publications Ltd";"1996-2020";"Sociology and Political Science (Q1)"
60;29170;"Critical Perspectives on Accounting";journal;"10452354, 10959955";1,823;Q1;63;56;123;6320;464;109;4,26;112,86;United States;Northern America;"Academic Press Inc.";"1990-2020";"Accounting (Q1); Finance (Q1); Information Systems and Management (Q1); Sociology and Political Science (Q1)"
61;26261;"Review of International Political Economy";journal;"09692290, 14664526";1,823;Q1;66;99;120;8854;479;109;3,40;89,43;United Kingdom;Western Europe;"Routledge";"1994-2020";"Economics and Econometrics (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
62;21100870919;"Political Science Research and Methods";journal;"20498470, 20498489";1,821;Q1;8;91;57;3788;104;46;2,26;41,63;United Kingdom;Western Europe;"Cambridge University Press";"2018-2020";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
63;19251;"Work, Employment and Society";journal;"09500170";1,808;Q1;75;101;182;4927;736;169;4,30;48,78;United States;Northern America;"SAGE Publications Ltd";"1987-2020";"Accounting (Q1); Economics and Econometrics (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)"
64;30084;"Journal of Sex Research";journal;"00224499, 15598519";1,798;Q1;100;147;296;10004;1418;285;4,63;68,05;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1965-2020";"Gender Studies (Q1); History and Philosophy of Science (Q1); Psychology (miscellaneous) (Q1); Sociology and Political Science (Q1)"
65;77191;"Early Childhood Research Quarterly";journal;"08852006";1,792;Q1;91;126;234;9201;887;219;3,15;73,02;United Kingdom;Western Europe;"Elsevier Ltd.";"1986-2020";"Developmental and Educational Psychology (Q1); Education (Q1); Sociology and Political Science (Q1)"
66;19089;"Government and Opposition";journal;"0017257X, 14777053";1,772;Q1;46;48;87;3322;215;72;2,86;69,21;United Kingdom;Western Europe;"Cambridge University Press";"1965-2020";"Public Administration (Q1); Sociology and Political Science (Q1)"
67;28007;"Security Dialogue";journal;"09670106";1,771;Q1;63;38;97;2848;333;94;3,27;74,95;United States;Northern America;"SAGE Publications Ltd";"1970-1972, 1976-2020";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
68;17530;"Social Forces";journal;"15347605, 00377732";1,769;Q1;123;32;197;2071;528;186;2,13;64,72;United Kingdom;Western Europe;"Oxford University Press";"1925-2020";"Anthropology (Q1); History (Q1); Sociology and Political Science (Q1)"
69;23715;"Science Technology and Human Values";journal;"01622439, 15528251";1,765;Q1;68;68;136;3670;545;125;2,79;53,97;United States;Northern America;"SAGE Publications Inc.";"1976-2020";"Anthropology (Q1); Economics and Econometrics (Q1); Engineering (miscellaneous) (Q1); Human-Computer Interaction (Q1); Philosophy (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
70;18091;"Sociological Methods and Research";journal;"00491241, 15528294";1,752;Q1;70;89;134;4803;457;82;5,88;53,97;United States;Northern America;"SAGE Publications Inc.";"1972-2020";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
71;19877;"Journal of Democracy";journal;"10455736, 10863214";1,736;Q1;81;52;170;380;648;125;4,96;7,31;United States;Northern America;"Johns Hopkins University Press";"1996-2020";"Sociology and Political Science (Q1)"
72;25733;"Journal of Criminal Justice";journal;"00472352";1,720;Q1;73;63;173;4346;752;170;3,80;68,98;United Kingdom;Western Europe;"Elsevier BV";"1973-2020";"Applied Psychology (Q1); Law (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)"
73;22857;"Political Geography";journal;"09626298";1,675;Q1;92;130;279;9440;952;236;3,93;72,62;United Kingdom;Western Europe;"Elsevier BV";"1983, 1992-2020";"Geography, Planning and Development (Q1); History (Q1); Sociology and Political Science (Q1)"
74;21100264650;"European Political Science Review";journal;"17557739, 17557747";1,663;Q1;30;29;80;1746;218;75;3,09;60,21;United Kingdom;Western Europe;"Cambridge University Press";"2009-2020";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
75;18130;"Sociology";journal;"00380385";1,661;Q1;102;86;227;4568;825;208;3,91;53,12;United States;Northern America;"SAGE Publications Ltd";"1967-2020";"Sociology and Political Science (Q1)"
76;21100888814;"Journal of Race, Ethnicity and Politics";journal;"20566085";1,647;Q1;6;14;47;899;72;40;1,70;64,21;United Kingdom;Western Europe;"Cambridge University Press";"2016-2020";"Anthropology (Q1); Sociology and Political Science (Q1)"
77;25654;"Post-Soviet Affairs";journal;"1060586X";1,625;Q1;42;30;82;1835;226;72;2,80;61,17;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1992-2020";"Economics and Econometrics (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
78;21100835891;"Journal of Experimental Political Science";journal;"20522630, 20522649";1,624;Q1;12;18;57;493;82;52;1,50;27,39;United Kingdom;Western Europe;"Cambridge University Press";"2014-2020";"Sociology and Political Science (Q1)"
79;15673;"Journal of Rural Studies";journal;"07430167";1,624;Q1;96;205;542;14816;2525;528;4,26;72,27;United Kingdom;Western Europe;"Elsevier Ltd.";"1985-2020";"Development (Q1); Forestry (Q1); Geography, Planning and Development (Q1); Sociology and Political Science (Q1)"
80;21100865122;"Research and Politics";journal;"20531680";1,621;Q1;14;44;157;1075;366;147;2,58;24,43;United Kingdom;Western Europe;"SAGE Publications Ltd";"2014-2020";"Political Science and International Relations (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
81;18699;"Theory, Culture and Society";journal;"02632764, 14603616";1,618;Q1;103;71;192;3753;497;183;2,66;52,86;United Kingdom;Western Europe;"SAGE Publications Ltd";"1982-2020";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
82;28611;"Geoforum";journal;"00167185";1,616;Q1;107;316;665;24040;2440;613;3,83;76,08;United Kingdom;Western Europe;"Elsevier BV";"1970-2020";"Sociology and Political Science (Q1)"
83;27364;"Population and Development Review";journal;"17284457, 00987921";1,616;Q1;91;50;127;2619;365;97;3,25;52,38;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1976-2020";"Demography (Q1); Development (Q1); Sociology and Political Science (Q1)"
84;17493;"Internet Research";journal;"10662243";1,607;Q1;80;104;180;8769;1213;179;6,60;84,32;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1991-2020";"Communication (Q1); Economics and Econometrics (Q1); Sociology and Political Science (Q1)"
85;16956;"Cities";journal;"02642751";1,606;Q1;81;308;598;20053;3385;580;5,83;65,11;United Kingdom;Western Europe;"Elsevier Ltd.";"1983-2020";"Development (Q1); Sociology and Political Science (Q1); Tourism, Leisure and Hospitality Management (Q1); Urban Studies (Q1)"
86;29561;"Journals of Gerontology - Series B Psychological Sciences and Social Sciences";journal;"10795014, 17585368";1,591;Q1;142;167;415;6095;1440;388;3,54;36,50;United States;Northern America;"Gerontological Society of America";"1995-2020";"Clinical Psychology (Q1); Geriatrics and Gerontology (Q1); Gerontology (Q1); Health (social science) (Q1); Life-span and Life-course Studies (Q1); Medicine (miscellaneous) (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)"
87;5600155551;"International Political Sociology";journal;"17495687, 17495679";1,590;Q1;37;21;82;1614;192;75;2,29;76,86;United Kingdom;Western Europe;"Oxford University Press";"2008-2020";"Sociology and Political Science (Q1)"
88;15039;"African Affairs";journal;"00019909, 14682621";1,587;Q1;66;25;106;1102;230;98;2,03;44,08;United Kingdom;Western Europe;"Oxford University Press";"1901-2020";"Geography, Planning and Development (Q1); Sociology and Political Science (Q1)"
89;19700181316;"Journal of Public Relations Research";journal;"1062726X, 1532754X";1,575;Q1;42;11;58;930;179;44;3,00;84,55;United States;Northern America;"Routledge";"1992-1995, 2004, 2007-2020";"Public Administration (Q1); Sociology and Political Science (Q1)"
90;22786;"Policy Studies Journal";journal;"0190292X, 15410072";1,568;Q1;64;89;132;6346;506;104;4,45;71,30;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1972-2020";"Management, Monitoring, Policy and Law (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
91;18106;"Sociological Review";journal;"1467954X, 00380261";1,567;Q1;79;63;228;3300;627;191;3,08;52,38;United Kingdom;Western Europe;"SAGE Publications Inc.";"1908-2020";"Sociology and Political Science (Q1)"
92;18697;"Theory and Society";journal;"15737853, 03042421";1,534;Q1;72;37;69;3430;189;69;2,46;92,70;Netherlands;Western Europe;"Springer Netherlands";"1974-2020";"History (Q1); Sociology and Political Science (Q1)"
93;22773;"Policy Sciences";journal;"00322687, 15730891";1,528;Q1;53;31;97;2419;386;90;4,12;78,03;Netherlands;Western Europe;"Springer Netherlands";"1970-2020";"Development (Q1); Management, Monitoring, Policy and Law (Q1); Public Administration (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
94;22762;"Policy and Politics";journal;"03055736, 14708442";1,507;Q1;50;32;104;2021;375;102;4,18;63,16;United Kingdom;Western Europe;"Policy Press";"1979-2019";"Management, Monitoring, Policy and Law (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
95;11700154366;"Journal of Leadership and Organizational Studies";journal;"19397089, 15480518";1,504;Q1;39;38;100;2986;319;99;2,98;78,58;United States;Northern America;"SAGE Publications Inc.";"1996-1999, 2008-2020";"Business and International Management (Q1); Management Science and Operations Research (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1); Strategy and Management (Q1)"
96;25098;"Future of Children";journal;"15501558, 10548289";1,481;Q1;80;8;38;256;176;37;5,11;32,00;United States;Northern America;"Center for the Future of Children";"1994-2015, 2017-2019";"Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q1); Sociology and Political Science (Q1)"
97;19700170417;"Journal of Information Technology and Politics";journal;"19331681, 1933169X";1,479;Q1;37;25;73;1648;237;68;2,69;65,92;United States;Northern America;"Routledge";"2008-2020";"Computer Science (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
98;14946;"Group Processes and Intergroup Relations";journal;"14617188, 13684302";1,477;Q1;69;107;175;6632;556;171;3,02;61,98;United Kingdom;Western Europe;"SAGE Publications Ltd";"1998-2020";"Arts and Humanities (miscellaneous) (Q1); Communication (Q1); Cultural Studies (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)"
99;17162;"Public Administration";journal;"14679299, 00333298";1,477;Q1;87;81;217;4969;688;202;2,18;61,35;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1923-2020";"Public Administration (Q1); Sociology and Political Science (Q1)"
100;17560;"Social Problems";journal;"15338533, 00377791";1,468;Q1;90;25;90;1595;233;83;2,04;63,80;United States;Northern America;"Oxford University Press";"1973, 1975, 1977-1979, 1982, 1984, 1989-1990, 1993, 1995-2020";"Sociology and Political Science (Q1)"
101;18062;"Sociologia Ruralis";journal;"14679523, 00380199";1,458;Q1;80;52;117;3489;500;117;3,16;67,10;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1960, 1962-2020";"Sociology and Political Science (Q1)"
102;15559;"American Politics Research";journal;"15523373, 1532673X";1,455;Q1;49;64;107;3637;205;103;1,87;56,83;United States;Northern America;"SAGE Publications Inc.";"1973-2020";"Sociology and Political Science (Q1)"
103;5400152621;"Sustainability Science";journal;"18624065, 18624057";1,448;Q1;48;143;266;9410;1212;229;5,33;65,80;Japan;Asiatic Region;"Springer Japan";"2007-2020";"Ecology (Q1); Geography, Planning and Development (Q1); Health (social science) (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1); Sociology and Political Science (Q1); Global and Planetary Change (Q2)"
104;17497;"British Journal of Sociology";journal;"00071315, 14684446";1,414;Q1;87;108;144;5771;435;136;3,21;53,44;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1965-1977, 1979-1984, 1987-2020";"Sociology and Political Science (Q1)"
105;100147345;"Journal of Sociolinguistics";journal;"13606441, 14679841";1,409;Q1;47;40;83;2068;194;78;2,08;51,70;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2004-2020";"History and Philosophy of Science (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1); Philosophy (Q1); Sociology and Political Science (Q1)"
106;21100385960;"American Journal of Cultural Sociology";journal;"20497121, 20497113";1,398;Q1;11;29;52;2140;112;50;2,37;73,79;Netherlands;Western Europe;"Springer International Publishing AG";"2013-2020";"Sociology and Political Science (Q1)"
